"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C7","4","10uF","","","","",""
"C2,C3,C4,C12,C13,C14,C15,C16,C17,C18,C19,C20","12","100nF","","","","",""
"C8","1","100uF","","","","",""
"C9","1","220uF","","","","",""
"C10","1","10nF","","","","",""
"C11","1","1uF","","","","",""
"D1,D2,D3","3","ESD9B5.0ST5G","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"D4,D5,D11,D12,D13,D14,D15,D16,D17,D18","10","D","","","","",""
"D9","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D_FLOAT1,D_LIGHT1,D_PUMP1,D_PUMP2,D_SYS1,D_VALVE1","6","WS2812B-2020","","","","LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm","https://cdn-shop.adafruit.com/product-files/4684/4684_WS2812B-2020_V1.3_EN.pdf"
"J1","1","Conn_02x05_Odd_Even","","","","",""
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3,J4,J5,J6,J7","5","Conn_01x02","","","","",""
"L1","1","33uH","","","","",""
"R1,R2","2","5.1k","","","","",""
"R3,R4,R8,R9,R10,R11","6","22","","","","",""
"R5","1","10k","","","","",""
"R6","1","2.2k","","","","",""
"R7","1","10K","","","","",""
"R12","1","330","","","","",""
"SW_GPIO0,SW_MCU_EN1,SW_RESET1","3","SW_Push","","","","",""
"SW_LIGHT1,SW_PUMP1,SW_PUMP2,SW_VALVE1","4","SW","","","","",""
"U1","1","ESP32-S3-WROOM-1-N8","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","XL1509-3.3","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5-0E1_C61063.pdf"
